"matrix","time","row","col","value","sd","conf.low","conf.high","dates"
"beta",1970-01-02,0,0,1.67617357881364,0.0186278573357112,1.63966364932649,1.71268350830078,2021-12-15
"report_prob",1970-01-02,0,0,1,0,1,1,2021-12-15
"serop",1970-01-02,0,0,0.00031751095117927,1.08377711681441e-05,0.000296269310017021,0.000338752592341519,2021-12-15
"cases",1970-01-02,0,0,90.0470775552266,4.20186563246048,81.8115722477274,98.2825828627257,2021-12-15
"beta",1970-01-03,0,0,1.57148078043755,0.014249996158451,1.54355130118715,1.59941025968794,2021-12-16
"report_prob",1970-01-03,0,0,1,0,1,1,2021-12-16
"serop",1970-01-03,0,0,0.000408146800651719,1.47107670249072e-05,0.000379314227097941,0.000436979374205496,2021-12-16
"cases",1970-01-03,0,0,113.148662720815,5.42549090427073,102.514895949994,123.782429491635,2021-12-16
"beta",1970-01-04,0,0,1.46969908566265,0.0102961895474904,1.44951892497157,1.48987924635373,2021-12-17
"report_prob",1970-01-04,0,0,1,0,1,1,2021-12-17
"serop",1970-01-04,0,0,0.000524209117343518,1.98960804304334e-05,0.000485213516266356,0.000563204718420679,2021-12-17
"cases",1970-01-04,0,0,140.229629843105,6.84312911531797,126.817343235525,153.641916450686,2021-12-17
"beta",1970-01-05,0,0,1.37135893771541,0.00682813668034622,1.35797603574041,1.3847418396904,2021-12-18
"report_prob",1970-01-05,0,0,1,0,1,1,2021-12-18
"serop",1970-01-05,0,0,0.000671454072929678,2.67113980780318e-05,0.000619100694720024,0.000723807451139333,2021-12-18
"cases",1970-01-05,0,0,171.598156801744,8.4524954904284,155.031570061017,188.164743542471,2021-12-18
"beta",1970-01-06,0,0,1.27690134267271,0.00403105545707524,1.26900061915716,1.28480206618827,2021-12-19
"report_prob",1970-01-06,0,0,1,0,1,1,2021-12-19
"serop",1970-01-06,0,0,0.000856142060334614,3.54859335433122e-05,0.000786590908631941,0.000925693212037288,2021-12-19
"cases",1970-01-06,0,0,207.393834000823,10.2339225588372,187.33571436493,227.451953636716,2021-12-19
"beta",1970-01-07,0,0,1.18667798336978,0.00267023979066655,1.18144440954999,1.19191155718957,2021-12-20
"report_prob",1970-01-07,0,0,1,0,1,1,2021-12-20
"serop",1970-01-07,0,0,0.0010850507590073,4.65544163088947e-05,0.000993805779720585,0.00117629573829402,2021-12-20
"cases",1970-01-07,0,0,247.599844638141,12.152702754277,223.780984924938,271.418704351345,2021-12-20
"beta",1970-01-08,0,0,1.10095363914578,0.00354826875921817,1.09399916017024,1.10790811812132,2021-12-21
"report_prob",1970-01-08,0,0,1,0,1,1,2021-12-21
