day,cases,hosp,death,test_roll3,seroprev_est
1,25,0,0,493,NA
2,16,0,0,601,NA
3,29,0,0,955,NA
4,21,0,0,1282,NA
5,34,0,0,0,NA
6,27,0,0,0,NA
7,54,0,0,5222,NA
8,62,0,0,2075,0.0096
9,62,0,0,2461,1
10,94,1,0,2911,NA
11,139,0,0,3601,NA
12,136,1,0,3367,NA
13,125,0,0,2517,NA
14,159,0,0,3326,NA
15,276,1,0,2556,NA
16,280,1,1,3487,NA
17,369,4,1,3832,NA
18,521,1,2,4469,NA
19,507,1,0,4668,NA
20,422,0,0,4395,NA
21,439,1,0,3715,NA
22,493,3,2,4610,0
23,439,3,3,4166,NA
24,547,5,1,4314,NA
25,597,3,1,4484,NA
26,476,2,1,4504,NA
27,1008,2,1,3484,NA
28,684,2,2,7339,NA
29,761,6,1,3191,NA
30,665,1,3,3555,0.0148
31,492,4,2,3326,NA
32,313,4,1,2852,NA
33,372,1,1,0,NA
34,280,2,0,5792,1
35,274,1,0,2075,NA
36,465,0,2,1489,NA
37,391,5,0,2623,NA
38,328,2,1,1653,0.0044
39,300,4,1,1653,NA
40,309,6,4,0,NA
41,352,1,0,0,NA
42,289,1,1,6400,NA
43,277,3,3,2078,NA
44,378,2,1,1896,NA
45,323,4,1,2301,NA
46,218,3,2,2301,0.0618
47,181,2,3,0,NA
48,215,2,0,2863,NA
49,161,5,1,1181,NA
50,232,2,1,1004,NA
51,212,2,1,1480,NA
52,226,1,3,1251,NA
53,268,1,0,1565,0.1187
54,71,2,0,1332,NA
55,188,2,1,526,NA
56,162,0,0,952,NA
57,300,3,3,860,NA
58,204,3,1,1444,NA
59,292,2,1,1176,NA
60,205,2,0,1564,0.0501
61,265,6,2,0,NA
62,167,1,0,2515,NA
63,181,1,0,1029,1
64,169,1,1,990,NA
65,306,2,1,706,NA
66,231,5,1,1673,NA
67,238,2,0,1339,0.1022
68,191,0,0,0,NA
69,268,3,2,2365,NA
70,181,3,0,1295,NA
71,291,3,1,951,NA
72,262,3,3,1600,NA
73,343,3,2,1325,NA
74,309,1,1,1872,0.0724
75,233,1,0,0,NA
76,272,2,2,2711,NA
77,345,2,1,1075,NA
78,384,3,1,1245,NA
79,406,2,1,1390,NA
80,501,5,1,1305,NA
81,464,5,1,1644,0.0166
82,371,5,1,0,NA
83,387,2,2,2763,NA
84,420,5,0,1201,NA
85,660,3,1,1407,NA
86,649,6,1,2091,NA
87,584,2,2,2058,NA
88,611,7,3,1868,0.0735
89,348,4,2,2076,NA
90,438,6,2,1311,NA
91,500,1,1,1262,NA
92,602,12,7,1546,NA
93,574,3,4,1802,1
94,574,3,4,1672,0.0596
95,635,4,1,1985,NA
96,499,9,3,0,NA
97,344,5,2,3038,0.0135
98,378,8,5,1713,NA
99,178,1,1,686,NA
100,444,11,6,0,NA
101,396,6,4,0,NA
102,476,8,3,0,NA
103,412,4,2,0,NA
104,418,3,2,6285,NA
105,292,5,1,842,0.0919
106,308,7,1,926,NA
107,545,6,4,1534,NA
108,295,4,5,980,NA
109,382,8,7,0,NA
110,305,2,6,0,NA
111,200,8,3,3444,NA
112,183,5,1,578,NA
113,217,7,6,754,0.2261
114,317,3,4,1114,NA
115,235,4,0,896,NA
116,370,3,3,1397,NA
117,151,2,2,0,NA
118,215,8,1,1448,NA
119,165,2,2,474,NA
120,123,3,0,732,0.2462
121,273,9,2,943,NA
122,171,7,4,1005,NA
123,184,5,6,1027,NA
124,157,4,2,554,1
125,96,2,1,334,NA
126,75,2,0,283,NA
127,126,5,0,531,NA
128,213,3,2,1157,NA
129,109,1,0,577,0.307
130,144,1,0,644,NA
131,152,2,0,0,NA
132,65,2,2,916,NA
133,68,0,1,484,NA
134,91,3,2,527,NA
135,117,4,2,687,NA
136,90,3,0,560,0.3182
137,88,3,1,497,NA
138,89,4,0,0,NA
139,54,2,2,938,NA
140,38,2,1,265,NA
141,66,0,0,375,NA
142,79,4,2,477,NA
143,77,3,2,550,0.3338
144,35,2,1,1228,NA
145,49,1,1,0,NA
146,26,4,1,1114,NA
147,18,1,2,362,NA
148,30,0,2,1114,NA
149,30,1,0,348,NA
150,28,3,0,872,0.334
151,46,1,1,531,NA
152,32,0,2,0,NA
153,26,2,0,0,NA
154,10,1,1,1375,1
155,32,2,0,843,NA
156,33,2,1,1286,NA
157,30,3,1,384,NA
158,36,1,1,415,NA
159,16,0,0,437,0.3633
160,31,2,0,891,NA
161,33,1,0,164,NA
162,41,3,0,204,NA
163,19,1,0,1120,NA
164,45,1,0,406,NA
165,22,1,0,360,NA
166,31,4,0,0,NA
167,21,0,0,0,0.2576
168,33,1,0,987,NA
169,20,1,1,319,NA
170,29,0,0,0,NA
