"","Time","prob"
"1",1,1
"2",2,1
"3",3,1
"4",4,1
"5",5,1
"6",6,1
"7",7,1
"8",8,1
"9",9,1
"10",10,1
"11",11,1
"12",12,1
"13",13,1
"14",14,1
"15",15,1
"16",16,1
"17",17,1
"18",18,1
"19",19,1
"20",20,0.52
"21",21,0.52
"22",22,0.52
"23",23,0.52
"24",24,0.52
"25",25,0.52
"26",26,0.52
"27",27,0.52
"28",28,0.52
"29",29,0.52
"30",30,0.52
"31",31,0.52
"32",32,0.52
"33",33,0.52
"34",34,0.52
"35",35,0.52
"36",36,0.52
"37",37,0.52
"38",38,0.52
"39",39,0.52
"40",40,0.52
"41",41,0.71
"42",42,0.71
"43",43,0.71
"44",44,0.71
"45",45,0.71
"46",46,0.71
"47",47,0.71
"48",48,0.71
"49",49,0.71
"50",50,0.71
"51",51,0.71
"52",52,0.71
"53",53,0.71
"54",54,0.71
"55",55,0.71
"56",56,0.71
"57",57,0.71
"58",58,0.71
"59",59,0.71
"60",60,0.71
"61",61,0.71
"62",62,0.71
"63",63,0.71
"64",64,0.71
"65",65,0.71
"66",66,0.71
"67",67,0.71
"68",68,0.71
"69",69,0.71
"70",70,0.71
"71",71,0.71
"72",72,0.71
"73",73,0.46
"74",74,0.46
"75",75,0.46
"76",76,0.46
"77",77,0.46
"78",78,0.46
"79",79,0.46
"80",80,0.46
"81",81,0.46
"82",82,0.46
"83",83,0.46
"84",84,0.46
"85",85,0.46
"86",86,0.46
"87",87,0.46
"88",88,0.46
"89",89,0.46
"90",90,0.46
"91",91,0.46
"92",92,0.46
"93",93,0.46
"94",94,0.18
"95",95,0.18
"96",96,0.18
"97",97,0.18
"98",98,0.18
"99",99,0.18
"100",100,0.18
"101",101,0.18
"102",102,0.18
"103",103,0.18
"104",104,0.18
"105",105,0.18
"106",106,0.18
"107",107,0.18
"108",108,0.18
"109",109,0.18
"110",110,0.18
"111",111,0.18
"112",112,0.18
"113",113,0.18
"114",114,0.18
"115",115,0.18
"116",116,0.18
"117",117,0.18
"118",118,0.18
"119",119,0.18
"120",120,0.18
"121",121,0.18
"122",122,0.18
"123",123,0.18
"124",124,0.18
"125",125,0.18
"126",126,0.18
"127",127,0.18
"128",128,0.18
"129",129,0.18
"130",130,0.18
"131",131,0.18
"132",132,0.18
"133",133,0.18
"134",134,0.18
"135",135,0.18
"136",136,0.18
"137",137,0.18
"138",138,0.18
"139",139,0.18
"140",140,0.18
"141",141,0.18
"142",142,0.18
"143",143,0.18
"144",144,0.18
"145",145,0.18
"146",146,0.18
"147",147,0.18
"148",148,0.18
"149",149,0.18
"150",150,0.18
"151",151,0.18
"152",152,0.18
"153",153,0.18
"154",154,0.18
"155",155,0.18
"156",156,0.18
"157",157,0.18
"158",158,0.18
"159",159,0.18
"160",160,0.18
"161",161,0.18
"162",162,0.18
"163",163,0.18
"164",164,0.18
"165",165,0.18
"166",166,0.18
"167",167,0.18
"168",168,0.18
"169",169,0.18
"170",170,0.18
"171",171,1
"172",172,1
"173",173,1
"174",174,1
"175",175,1
"176",176,1
"177",177,1
"178",178,1
"179",179,1
"180",180,1
"181",181,1
"182",182,1
"183",183,1
"184",184,1
"185",185,1
"186",186,1
"187",187,1
"188",188,1
"189",189,1
"190",190,0.52
"191",191,0.52
"192",192,0.52
"193",193,0.52
"194",194,0.52
"195",195,0.52
"196",196,0.52
"197",197,0.52
"198",198,0.52
"199",199,0.52
"200",200,0.52
"201",201,0.52
"202",202,0.52
"203",203,0.52
"204",204,0.52
"205",205,0.52
"206",206,0.52
"207",207,0.52
"208",208,0.52
"209",209,0.52
"210",210,0.52
"211",211,0.71
"212",212,0.71
"213",213,0.71
"214",214,0.71
"215",215,0.71
"216",216,0.71
"217",217,0.71
"218",218,0.71
"219",219,0.71
"220",220,0.71
"221",221,0.71
"222",222,0.71
"223",223,0.71
"224",224,0.71
"225",225,0.71
"226",226,0.71
"227",227,0.71
"228",228,0.71
"229",229,0.71
"230",230,0.71
"231",231,0.71
"232",232,0.71
"233",233,0.71
"234",234,0.71
"235",235,0.71
"236",236,0.71
"237",237,0.71
"238",238,0.71
"239",239,0.71
"240",240,0.71
"241",241,0.71
"242",242,0.71
"243",243,0.46
"244",244,0.46
"245",245,0.46
"246",246,0.46
"247",247,0.46
"248",248,0.46
"249",249,0.46
"250",250,0.46
"251",251,0.46
"252",252,0.46
"253",253,0.46
"254",254,0.46
"255",255,0.46
"256",256,0.46
"257",257,0.46
"258",258,0.46
"259",259,0.46
"260",260,0.46
"261",261,0.46
"262",262,0.46
"263",263,0.46
"264",264,0.18
"265",265,0.18
"266",266,0.18
"267",267,0.18
"268",268,0.18
"269",269,0.18
"270",270,0.18
"271",271,0.18
"272",272,0.18
"273",273,0.18
"274",274,0.18
"275",275,0.18
"276",276,0.18
"277",277,0.18
